i,timestamp,t_time,collisions,base_t_time,satellite,sat_r_time
3,5976.934440156285,5997,0,5998,9,5998.751062142809
2,5989.384247092529,5998,0,5999,9,5999.751079031589
5,5939.3381895219345,6010,0,6011,9,6011.751281721858
4,5974.038985528282,6012,0,6013,9,6013.751315508037
5,5986.082700869649,6016,1,6017,9,6017.751383084224
5,5995.349564372468,6018,0,6019,9,6019.75141687423
3,6000.393429904793,6027,1,6028,9,6028.751568945043
5,5996.388577404013,6031,0,6032,9,6032.751636540357
1,6026.08096910321,6033,0,6034,9,6034.751670339926
3,6004.152483420775,6039,0,6040,9,6040.751771746276
3,6007.505309347967,6040,0,6041,9,6041.751788648448
5,6005.406662119493,6051,1,6052,9,6052.751974593357
0,6043.860156464358,6053,0,6054,9,6054.752008405658
4,6044.962406742963,6057,0,6058,9,6058.752076034078
5,6068.716120745011,6071,0,6072,9,6072.7523127735985
1,6073.915370225511,6074,0,6075,9,6075.752363511599
3,6040.449975688456,6075,1,6076,9,6076.7523804249
1,6074.494943501463,6078,0,6079,9,6079.75243116671
5,6077.516631125404,6083,0,6084,9,6084.7525157427435
2,6076.070483623538,6087,0,6088,9,6088.752583409282
4,6075.332617149912,6090,0,6091,9,6091.752634162518
3,6056.3822134919565,6105,1,6106,9,6106.752887971506
2,6084.618500831403,6108,1,6109,9,6109.752938741862
0,6104.392594151777,6109,0,6110,9,6110.7529556659465
3,6066.035114396956,6116,0,6117,9,6117.753074143412
5,6086.13156534693,6117,1,6118,9,6118.753091070031
0,6105.0052085805755,6120,0,6121,9,6121.7531418517865
5,6088.643831772154,6123,0,6124,9,6124.75319263639
3,6081.847958127193,6129,0,6130,9,6130.7532942141415
5,6092.464301685415,6136,0,6137,9,6137.7534127359095
3,6102.86707106783,6137,0,6138,9,6138.753429668855
5,6125.993663613055,6139,0,6140,9,6140.753463535695
3,6129.181440441048,6143,0,6144,9,6144.753531273167
1,6138.877338605022,6148,0,6149,9,6149.753615952117
5,6135.429462804771,6155,0,6156,9,6156.753734515912
2,6149.752600293582,6160,0,6161,9,6161.753819213808
5,6138.595783077036,6171,0,6172,9,6172.754005576946
0,6161.156086580499,6175,0,6176,9,6176.754073354821
3,6159.078915072148,6176,1,6177,9,6177.754090300078
1,6156.613253713487,6177,1,6178,9,6178.754107245651
1,6170.675935084776,6187,0,6188,9,6188.754276718703
4,6181.259207498891,6191,1,6192,9,6192.754344516745
5,6184.5143878228055,6197,0,6198,9,6198.754446223252
1,6170.737355273186,6203,0,6204,9,6204.754547941089
2,6197.384170689067,6208,0,6209,9,6209.754632714605
3,6207.180538850864,6209,0,6210,9,6210.754649670252
1,6196.862229475231,6212,0,6213,9,6213.754700539078
5,6208.851943170013,6222,1,6223,9,6223.754870122264
0,6188.344641894081,6232,2,6233,9,6233.755039736865
